"Gene","HR","p.value"
"PITX3",1.602,5.74083299939597e-10
"FAM117A",0.537,1.17152762815056e-09
"GNPNAT1",1.724,2.45724077142837e-08
"VAX1",1.259,2.77340360883865e-08
"DKK1",1.143,3.58133827491767e-08
"ESYT3",0.795,8.23910284400814e-08
"BZRAP1",0.757,8.28618616956213e-08
"INPP5J",0.752,1.30605460205985e-07
"PLEKHB1",0.761,1.38961120822603e-07
"MYLIP",0.609,1.44584156445932e-07
"LOC441869",0.793,2.37792295075696e-07
"ANLN",1.32,2.50572127904714e-07
"IRX5",0.836,2.85311792138758e-07
"SFTA3",0.879,3.0613355999234e-07
"RGS20",1.195,3.15145060393699e-07
"SLC47A1",0.799,3.60856726900046e-07
"LASS4",0.744,3.83964874322557e-07
"TLE1",1.761,3.88059643984146e-07
"LDHA",1.69,4.60722846865032e-07
"CMAH",0.753,5.3136264755315e-07
"LINGO2",1.255,5.42740369995421e-07
"SLC25A42",0.636,5.66596644826454e-07
"ENPP5",0.75,5.92763556030585e-07
"ERO1L",1.41,6.38285649537288e-07
"C1QTNF6",1.416,6.92811052011043e-07
"ZNF709",0.592,7.04719497598072e-07
"RHOV",1.208,7.3876158323314e-07
"KRT6C",1.123,8.79602664970944e-07
"ABCC6P2",0.771,9.78482829967657e-07
"NKX2.1",0.874,1.10373874112625e-06
"DENND1C",0.603,1.1702797871661e-06
"CREG2",1.204,1.26676586403566e-06
"GLS2",0.798,1.33528562693217e-06
"ZNF540",0.742,1.34319947561968e-06
"DTNBP1",0.426,1.35313793204423e-06
"GALNT2",1.787,1.42266930154921e-06
"IGFBP1",1.146,1.56514572738286e-06
"KRT6A",1.097,1.61285907212545e-06
"GNMT",0.768,1.63995166284231e-06
"SPATA6",0.738,1.72300889073533e-06
"AHSG",1.282,1.82585957837702e-06
"CIDEC",1.176,1.92104986814875e-06
"LOC100131726",1.234,1.94245780078202e-06
"CXCL17",0.875,2.32778587098047e-06
"FAM83A",1.221,2.35594220864477e-06
"MGC34034",1.457,2.39080541026462e-06
"CCT6A",1.532,2.58298892551616e-06
