sig_id,cell_id,pert_id,pert_type,pert_iname
CPC001_HCC515_24H:BRD-A00267231-001-01-1:10,HCC515,BRD-A00267231,trt_cp,hemado
CPC001_HCC515_24H:BRD-A01295252-001-01-5:10,HCC515,BRD-A01295252,trt_cp,7-hydroxy-PIPAT
CPC001_HCC515_24H:BRD-A03359064-001-01-5:10,HCC515,BRD-A03359064,trt_cp,ICI-89406
CPC001_HCC515_24H:BRD-A03816571-001-01-0:10,HCC515,BRD-A03816571,trt_cp,CP-55940
CPC001_HCC515_24H:BRD-A04668240-001-01-5:10,HCC515,BRD-A04668240,trt_cp,CGP-52432
CPC001_HCC515_24H:BRD-A06276885-003-01-1:10,HCC515,BRD-A06276885,trt_cp,BRD-A06276885
CPC001_HCC515_24H:BRD-A07029265-004-02-9:10,HCC515,BRD-A07029265,trt_cp,ipratropium
CPC001_HCC515_24H:BRD-A07875874-001-01-6:10,HCC515,BRD-A07875874,trt_cp,cilnidipine
CPC001_HCC515_24H:BRD-A09161221-001-01-9:10,HCC515,BRD-A09161221,trt_cp,nomilin
CPC001_HCC515_24H:BRD-A09828896-004-04-5:10,HCC515,BRD-A09828896,trt_cp,SKF-81297
,,,,
Total number of filtered signatures: 60550,,,,
