Top 10 Rows of LUAD Gene Effect Data (First 5 Genes),,,,,
DepMap_ID,A1BG (1),A1CF (29974),A2M (2),A2ML1 (144568),A3GALT2 (127550)
ACH-000012,-0.1493633,0.010971,0.0256606,0.0369346,0.0851976
ACH-000021,-0.1166264,-0.1719324,-0.0220948,-0.0101907,-0.07525
ACH-000029,-0.0615996,-0.0492076,-0.0116895,0.0192035,-0.2084495
ACH-000030,0.1121243,-0.2148049,0.0062977,0.0480164,-0.0786746
ACH-000035,-0.1398323,-0.0232857,0.0069274,0.0414953,0.1066789
ACH-000161,-0.0298972,-0.0451637,0.085354,0.0945018,-0.2166868
ACH-000251,-0.1041337,-0.095936,0.0064338,0.2730505,-0.3540892
ACH-000264,-0.1111871,0.0137954,-0.0598487,0.0087267,-0.0752397
ACH-000311,0.0076314,0.0417803,-0.0625661,0.0743189,-0.2485873
ACH-000337,0.0924752,-0.0121902,-0.1157989,0.032753,-0.1185659
,,,,,
Total number of LUAD cell lines with gene effect data: 60,,,,,
