ig_id,cell_id,pert_id,pert_type,pert_iname
DER001_A549_96H:TRCN0000001399:-666,A549,TRCN0000001399,trt_sh,EIF2AK3
DER001_A549_96H:TRCN0000001400:-666,A549,TRCN0000001400,trt_sh,EIF2AK3
DER001_A549_96H:TRCN0000001401:-666,A549,TRCN0000001401,trt_sh,EIF2AK3
DER001_A549_96H:TRCN0000001403:-666,A549,TRCN0000001403,trt_sh,EIF2AK3
DER001_A549_96H:TRCN0000001617:-666,A549,TRCN0000001617,trt_sh,PTK2
DER001_A549_96H:TRCN0000001618:-666,A549,TRCN0000001618,trt_sh,PTK2
DER001_A549_96H:TRCN0000001620:-666,A549,TRCN0000001620,trt_sh,PTK2
DER001_A549_96H:TRCN0000001642:-666,A549,TRCN0000001642,trt_sh,MELK
DER001_A549_96H:TRCN0000001645:-666,A549,TRCN0000001645,trt_sh,MELK
DER001_A549_96H:TRCN0000001646:-666,A549,TRCN0000001646,trt_sh,MELK
,,,,
Total number of shRNA signatures: 26915,,,,
