sample,expression,pdl1_expression
TCGA-69-7978,9.4672,High
TCGA-62-8399,6.4279,Medium
TCGA-78-7539,6.1155,Medium
TCGA-73-4658,9.0617,High
TCGA-44-6775,6.2897,Medium
TCGA-44-2655,4.9318,Low
TCGA-44-3398,7.752,High
TCGA-62-8397,5.1117,Low
TCGA-53-A4EZ,4.5977,Low
TCGA-50-7109,4.6672,Low
TCGA-38-6178,4.3576,Low
TCGA-86-8056,6.0167,Medium
TCGA-55-1592,5.9134,Medium
TCGA-86-A4JF,8.0353,High
TCGA-69-7974,8.6475,High
TCGA-86-A456,6.7156,High
TCGA-97-8547,5.751,Medium
TCGA-55-1595,6.1034,Medium
TCGA-NJ-A4YP,4.9998,Low
TCGA-05-4424,5.4403,Medium
TCGA-97-A4M7,6.0039,Medium
TCGA-44-2668,8.3563,High
TCGA-NJ-A55A,5.9383,Medium
TCGA-05-5420,7.7476,High
TCGA-55-1594,6.2193,Medium
TCGA-44-2659,5.7798,Medium
TCGA-78-7162,5.3534,Medium
TCGA-38-4632,7.2151,High
TCGA-49-6761,8.3896,High
TCGA-91-6828,6.4955,Medium
TCGA-05-4418,7.0293,High
TCGA-99-AA5R,7.0836,High
TCGA-55-7903,7.685,High
TCGA-55-A492,1.0505,Low
TCGA-55-8616,6.392,Medium
TCGA-86-7954,6.8521,High
TCGA-05-4433,5.8379,Medium
TCGA-69-8253,4.6438,Low
TCGA-86-8674,4.2891,Low
TCGA-69-7765,6.015,Medium
TCGA-86-8672,6.6651,High
TCGA-MP-A4T6,5.2325,Low
TCGA-97-7547,5.8771,Medium
TCGA-55-7911,7.8547,High
TCGA-91-6835,7.3534,High
TCGA-55-A48Z,6.6228,High
TCGA-50-5045,6.9154,High
TCGA-55-7913,3.8567,Low
TCGA-86-8075,6.718,High
TCGA-97-8177,5.5864,Medium
TCGA-55-7907,5.7384,Medium
TCGA-44-8117,6.7924,High
TCGA-86-8668,5.8835,Medium
TCGA-78-8660,7.0723,High
TCGA-05-4415,6.0025,Medium
TCGA-75-6212,5.6692,Medium
TCGA-67-6215,4.8359,Low
TCGA-05-4430,6.1662,Medium
TCGA-49-6742,4.4999,Low
TCGA-38-4627,5.4248,Medium
TCGA-69-7979,5.8171,Medium
TCGA-69-7973,5.2538,Low
TCGA-73-7499,5.8653,Medium
TCGA-44-A47A,6.1624,Medium
TCGA-78-8662,3.3597,Low
TCGA-55-8085,5.5946,Medium
TCGA-75-6206,4.9638,Low
TCGA-50-5932,4.5511,Low
TCGA-50-6594,10.6897,High
TCGA-49-AARQ,4.8624,Low
TCGA-55-7574,5.6037,Medium
TCGA-50-5066,6.4612,Medium
TCGA-86-A4P7,5.7329,Medium
TCGA-64-5779,5.1774,Low
TCGA-55-8096,5.2986,Medium
TCGA-97-8175,7.5449,High
TCGA-44-A4SS,6.0155,Medium
TCGA-91-7771,5.9968,Medium
TCGA-86-8278,6.5756,High
TCGA-55-8087,4.0624,Low
TCGA-MP-A4T8,4.0839,Low
TCGA-L9-A5IP,6.638,High
TCGA-55-6979,8.2778,High
TCGA-69-7980,6.72,High
TCGA-62-A472,7.3502,High
TCGA-49-4507,4.5322,Low
TCGA-55-6642,5.9375,Medium
TCGA-86-7701,6.284,Medium
TCGA-62-A46R,5.7149,Medium
TCGA-62-A46V,4.3821,Low
TCGA-44-6146,4.7879,Low
TCGA-49-4501,6.0327,Medium
TCGA-55-7914,6.3212,Medium
TCGA-73-4659,6.0065,Medium
TCGA-86-8669,5.8664,Medium
TCGA-49-AAQV,6.3978,Medium
TCGA-78-7149,2.576,Low
TCGA-86-8055,6.395,Medium
TCGA-91-6829,6.284,Medium
TCGA-78-7163,5.7749,Medium
TCGA-62-8398,6.4545,Medium
TCGA-38-A44F,4.8277,Low
TCGA-38-4631,3.9189,Low
TCGA-L9-A7SV,4.5856,Low
TCGA-49-AAR2,4.0415,Low
TCGA-MP-A4SY,7.1815,High
TCGA-05-4432,5.9031,Medium
TCGA-05-4398,9.35,High
TCGA-75-6211,4.3267,Low
TCGA-44-6778,8.2703,High
TCGA-55-8510,7.1597,High
TCGA-MP-A4TD,4.3022,Low
TCGA-55-8205,9.5738,High
TCGA-55-7573,5.493,Medium
TCGA-MP-A4T4,9.1072,High
TCGA-97-7941,4.7656,Low
TCGA-55-7994,9.6723,High
TCGA-05-4420,4.3912,Low
TCGA-50-6591,2.6727,Low
TCGA-38-4630,4.854,Low
TCGA-49-6743,7.1778,High
TCGA-55-8206,5.8056,Medium
TCGA-MP-A5C7,3.6093,Low
TCGA-49-AARE,4.1571,Low
TCGA-75-6203,6.4984,Medium
TCGA-86-7955,4.4651,Low
TCGA-49-6744,6.1239,Medium
TCGA-95-A4VN,10.368,High
TCGA-55-7576,6.0392,Medium
TCGA-53-7626,6.4974,Medium
TCGA-97-7546,7.3423,High
TCGA-44-7672,7.1885,High
TCGA-62-A46O,4.0538,Low
TCGA-55-6984,5.2312,Low
TCGA-97-8174,5.503,Medium
TCGA-35-4123,9.0645,High
TCGA-93-A4JO,6.3587,Medium
TCGA-97-7937,4.127,Low
TCGA-50-6597,3.2453,Low
TCGA-99-8033,7.3838,High
TCGA-55-7570,4.6668,Low
TCGA-38-4626,7.2851,High
TCGA-69-7764,5.2531,Low
TCGA-05-5715,4.4648,Low
TCGA-50-6590,8.8981,High
TCGA-86-7713,5.1354,Low
TCGA-S2-AA1A,6.0698,Medium
TCGA-75-7027,4.5772,Low
TCGA-50-5049,7.0997,High
TCGA-55-8505,3.9205,Low
TCGA-49-AAR0,4.8708,Low
